#{"t_start": 1781366624.4062605, "env_id": "None"}
r,l,t
-1.4199848,295,1314.088888
-34.769997,160,1314.224704
65.35993,550,1314.362726
-17.010012,204,1314.443304
8.559998,168,1314.785201
-2.7399826,300,1314.796664
-30.44,200,1314.851982
-16.210014,108,1314.871178
35.30999,252,1314.88161
-29.78,14,1314.938847
-29.39,30,1314.993596
22.180058,174,1347.894186
104.05994,341,1347.894186
87.66995,241,1348.145873
106.50995,406,1348.370593
52.95987,414,1348.628855
24.920197,389,1348.863775
63.10005,366,1348.97186
62.9,278,1349.307143
91.709984,480,1349.520677
-2.0200233,150,1349.744809
10.620033,256,1350.262012
-3.8000145,180,1375.783531
79.449844,450,1375.860194
-14.460028,250,1375.95947
93.01988,604,1376.103822
-16.050013,90,1376.147437
214.05042,576,1376.18873
37.24009,450,1376.357111
51.580048,408,1376.435522
20.260063,114,1376.639342
-10.549997,204,1376.676114
-4.0199986,186,1376.89284
-14.12004,225,1377.012938
35.580063,192,1377.227241
133.49031,527,1377.48884
79.64001,391,1407.197696
-34.86,200,1407.197696
99.35005,318,1407.278066
-29.53,24,1407.386532
148.30983,637,1407.539511
90.89996,377,1407.763043
52.550064,486,1407.902838
-3.5899868,132,1407.976515
144.62056,606,1408.213954
-3.2500172,120,1408.311556
252.91968,810,1431.040929
48.590034,174,1431.046096
20.310062,150,1431.162101
77.399925,432,1431.435881
76.19009,324,1431.662816
-21.910019,144,1432.105636
72.14986,521,1432.198385
133.76996,381,1432.336601
11.820137,347,1432.637228
183.05043,714,1432.731063
