#{"t_start": 1781285167.7912755, "env_id": "None"}
r,l,t
-16.970003,84,13.4948
-29.39,80,13.541361
-17.470005,39,13.56576
-28.97,51,13.569435
-29.449999,106,13.584688
-17.29,51,13.606649
-17.78,20,13.655689
-17.46,38,13.661803
-28.279999,160,13.672064
-17.240004,47,13.672064
-16.98,61,13.68375
-3.3599987,94,13.718407
-17.220001,34,13.738234
-28.13,141,13.746754
-3.7099953,41,13.778603
-29.73,44,13.778603
-29.41,47,13.786951
-30.04,20,13.795762
-4.42,32,13.819029
7.2800064,86,13.866457
-29.79,35,13.866981
-29.41,32,13.866981
-29.65,21,13.877383
-30.07,3,13.877383
-30.04,10,13.893948
-29.92,8,13.893948
-30.04,10,13.899595
-17.7,12,13.899595
-16.430004,85,13.92335
-17.630001,20,13.940699
-17.5,22,13.949698
-34.79998,159,13.96724
-17.7,12,13.96724
-3.0299969,73,13.970981
-30.01,2,13.974112
-30.03,4,13.979622
-29.63,24,13.982621
-29.43,19,13.993993
-30.07,13,14.001356
9.060013,107,14.036773
-17.580002,30,14.068174
-16.790005,74,14.076333
-16.550003,87,14.098427
-29.3,61,14.125409
-16.78,57,14.132022
-30.07,3,14.137116
-29.65,31,14.147842
-16.900002,47,14.155417
-17.37,22,14.155417
-28.56,92,14.204288
-17.46,28,14.206283
7.250004,99,14.214884
-29.38,34,14.231604
-17.27,33,14.234327
-4.0600033,67,14.234327
-29.64,15,14.235365
-29.97,3,14.241413
-28.88,50,14.277273
-29.48,34,14.323728
-17.050005,39,14.333194
-17.330002,25,14.343062
