#{"t_start": 1781284635.6025443, "env_id": "None"}
r,l,t
13.6500435,324,196.858954
-13.259993,250,196.863716
194.17044,533,196.971877
131.16985,342,197.110027
164.38966,676,197.284006
194.05945,722,197.41432
48.21003,180,197.650817
-30.06,47,197.854493
48.710014,162,197.922257
137.31984,715,198.012445
162.5697,640,198.586921
60.590027,186,198.604804
96.68977,590,201.562626
50.639946,364,201.799477
-3.7800179,72,201.805477
178.27016,672,201.83648
-29.47,24,201.916445
7.4701424,320,202.179136
180.41983,720,202.216455
178.27058,565,202.341025
9.400066,180,202.403589
305.2902,839,202.8704
23.890095,288,205.780126
72.58016,504,206.158058
135.23012,479,206.188092
117.44023,390,206.458605
188.69016,850,206.816291
64.840034,323,207.171464
-4.76997,90,207.186883
159.08125,614,207.348963
165.12003,662,207.348963
162.60013,488,207.517153
48.290077,186,210.777108
188.30032,461,210.824356
129.91982,494,210.916578
22.030022,232,210.946282
76.21002,291,211.035653
151.53966,604,211.57854
36.350075,198,211.701416
91.25012,402,211.738464
40.750137,210,211.832785
61.52001,250,211.869821
130.49997,345,212.082702
9.060017,189,215.281754
133.19012,495,215.382478
76.960014,294,215.478958
-4.180006,72,215.514415
253.591,852,215.78241
70.89007,438,215.86522
63.299927,324,215.936634
34.049988,162,215.940751
-29.82,18,216.010733
65.18011,456,216.097178
-31.82,200,216.21623
-28.86,66,216.367147
9.5400505,126,216.43958
2.6500053,272,216.531564
164.71008,560,216.594363
-29.72,18,216.597894
-13.500017,219,216.720736
-3.7900085,78,219.439488
21.870033,234,219.852667
132.46977,390,219.869506
-29.8,6,219.873942
49.149963,288,219.889544
-17.580002,36,219.996814
207.48984,442,220.374102
103.67012,390,220.411835
173.98996,372,220.735386
20.970078,150,220.91728
12.190193,325,221.046874
201.46031,814,224.05385
270.51996,714,224.094672
91.45991,409,224.355121
62.180153,271,224.603197
92.01994,404,224.747927
37.69001,248,224.814218
35.100113,181,224.988915
128.24983,252,225.450547
176.5696,763,225.46309
-29.85,6,225.471208
-17.29,36,225.600273
13.33004,84,228.493836
12.170223,348,228.642614
162.96034,594,228.857591
90.440056,396,228.864077
179.80003,650,229.019204
198.00986,732,229.053665
22.490055,238,229.120131
23.230038,204,229.332896
163.52016,498,229.388548
103.56001,348,232.697565
146.50967,425,232.713318
176.2601,570,232.804282
-17.570005,42,232.829604
91.05997,462,232.967698
19.900036,84,233.105494
192.0504,519,233.191414
78.65007,456,233.265381
-3.3500156,90,233.272657
85.260086,481,233.405139
21.31002,102,233.44668
64.90991,282,233.630485
198.09091,713,233.643521
9.920044,144,233.656059
-5.640011,147,233.863008
61.040092,204,233.914228
20.529991,90,234.159529
14.770103,333,236.8072
